strain,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_stable_ID,Gene_name,Gene_description,NCBI_gene_ID
N2,2.41301705037712,0.43690760801258,5.52294582681574,3.33362544836054e-8,2.12276665647216e-6,WBGene00020472,lips-11,LIPaSe_related,188467
N2,2.35503970618462,0.758767957619295,3.10376799986885,0.00191073096175785,0.0224243930945897,WBGene00014254,cyp-13A10,Putative_cytochrome_P450_CYP13A10,174522
N2,2.34461646898401,0.735652133779555,3.18712657970295,0.00143693873694558,0.017706099043262,WBGene00014178,ZK1010.4,?,191490
N2,2.31584073832155,0.470176895098638,4.92546690929105,8.41591527106959e-7,3.72489164688147e-5,WBGene00044623,bus-8,Glycosyltransferase;_Uncharacterized_protein;Glycosyltransferase;_Uncharacterized_protein;Glycosyltransferase;_Uncharacterized_protein;Glycosyltransferase;_Uncharacterized_protein;Glycosyltransferase;_Uncharacterized_protein;Glycosyltransferase;_Uncharacterized_protein;Glycosyltransferase;_Uncharacterized_protein;Glycosyltransferase;_Uncharacterized_protein;Glycosyltransferase;_Uncharacterized_protein;Glycosyltransferase;_Uncharacterized_protein;Glycosyltransferase;_Uncharacterized_protein;Glycosyltransferase;_Uncharacterized_protein,180821
N2,2.20943178926689,0.450150112219706,4.9082111262221,9.1910882337333e-7,4.03182403853101e-5,WBGene00008988,F20G2.5,?,184745
N2,2.20670256832019,0.735769485195936,2.99917652569207,0.00270710411231171,0.0293616676796885,WBGene00011083,glo-1,Gut_granule_LOss,3565633
N2,2.20323416518611,0.424821760621906,5.18625543559903,2.1456447007812e-7,1.13248733672248e-5,WBGene00020473,lips-12,LIPaSe_related,188468
N2,2.1512830233404,0.321615761393012,6.68898506100127,2.24723668865632e-11,3.8912677398312e-9,WBGene00016450,clec-5,C-type_LECtin,175652
N2,2.14775108633066,0.617425919607273,3.47855672741564,5.04121724968432e-4,0.00791046331548239,WBGene00008851,F15B9.8,?,179784
N2,2.1332923763971,0.619243112744872,3.44499976259892,5.71059893226273e-4,0.00879307511098801,WBGene00018547,clec-78,C-type_LECtin,185915
N2,2.09902201818926,0.39425468019067,5.32402562012486,1.0149560201965e-7,5.82419530194155e-6,WBGene00006539,tbb-6,"TuBulin,_Beta",179680
N2,2.09590735286142,0.522124487064968,4.01419087743461,5.96500614932276e-5,0.00139844680982935,WBGene00194658,R09E10.13,?,13197764
N2,2.08984727441788,0.444994438333827,4.69634470543676,2.6485842873981e-6,1.01718003566612e-4,WBGene00002090,ins-7,Probable_insulin-like_peptide_beta-type_4,191688
N2,2.0801203226843,0.296548908350231,7.01442583031743,2.30895172154657e-12,5.69733837291616e-10,WBGene00044212,Y68A4A.13,?,3564815
N2,2.06621675481966,0.407247378363067,5.07361585266632,3.90326647744592e-7,1.92626200661956e-5,WBGene00013960,cutl-8,CUTiclin-Like,3565740
N2,2.05746512675311,0.465506384751011,4.41984297992733,9.87726427734415e-6,3.02759622414245e-4,WBGene00000681,col-107,COLlagen,176961
N2,2.05319598317264,0.425378758111239,4.8267477959859,1.38780687914437e-6,5.73123594023218e-5,WBGene00021002,W03F9.4,?,178543
N2,2.04057162964243,0.347816650428496,5.86680260168261,4.44279072529069e-9,3.62399540980323e-7,WBGene00001699,grd-10,GRounDhog_(hedgehog-like_family),184239
N2,2.03083844923864,0.455032689210112,4.46306056113015,8.07972045555948e-6,2.57247873859265e-4,WBGene00018601,F48C1.9,?,266832
N2,2.02832630604668,0.446327256076156,4.54448227938961,5.50704397480214e-6,1.8742939321137e-4,WBGene00077490,M03A1.8,?,6418630
N2,2.02408681433428,0.307912288831058,6.5735824380976,4.91188575700711e-11,8.08005207027669e-9,WBGene00010236,F58B4.3,?,186495
N2,2.0054096038175,0.38232915613949,5.24524371634855,1.56075874238367e-7,8.41786272531522e-6,WBGene00086560,ZK355.8,?,7040126
N2,2.00202673169489,0.590907167965371,3.38805626370776,7.03898234730794e-4,0.0105424515581076,WBGene00015532,C06E4.3,?,182326
N2,1.99335944347199,0.548129235015608,3.63665959801474,2.761965401783e-4,0.00485064030526659,WBGene00006743,unc-3,Transcription_factor_unc-3,181573
N2,1.97323331516751,0.432530234247087,4.56207025296707,5.06516921639974e-6,1.74801469111417e-4,WBGene00007989,fipr-22,FIP_(Fungus-Induced_Protein)_Related,259409
N2,1.96335140302784,0.335951955266179,5.8441434028037,5.09181513998666e-9,4.02049723453346e-7,WBGene00018969,F56D3.1,?,173750
N2,1.96243981662865,0.494810137557103,3.96604610066659,7.30747345763624e-5,0.00167732007039232,WBGene00044922,Y43C5A.7,?,4927022
N2,1.95707828590934,0.537927114117243,3.63818486658917,2.74566319529787e-4,0.00483296741188032,WBGene00007097,B0024.4,?,179432
N2,1.94803825461407,0.664778752126025,2.93035577383311,0.00338574121192981,0.0350653365810569,WBGene00011520,nhr-213,Nuclear_hormone_receptor_family_member_nhr-213,188172
N2,1.94705426200444,0.518177888975914,3.75750162912672,1.71618250020365e-4,0.00332131789745295,WBGene00202514,T09F5.20,?,13216825
N2,1.94197514629742,0.659422800112748,2.94496208800391,0.00322994237559493,0.0338040719530871,WBGene00020844,T27A10.2,?,180648
N2,1.91392993942062,0.590080832311104,3.24350467701949,0.00118068872233723,0.0153334180124585,WBGene00015894,acdh-2,Acyl_CoA_DeHydrogenase,173940
N2,1.91210937005881,0.423200863342599,4.51820763066563,6.23653129476266e-6,2.08659538573923e-4,WBGene00045251,F54F7.9,?,6418854
N2,1.90135073873931,0.305875948485339,6.21608448835083,5.09713659829924e-10,5.71690207104699e-8,WBGene00235164,K09F6.13,?,24104743
N2,1.82488936017305,0.237390665424374,7.6872835623539,1.5029179216673e-14,7.41689994342811e-12,WBGene00000560,cnc-6,CaeNaCin_(Caenorhabditis_bacteriocin),175324
N2,1.82075518758747,0.620972769038572,2.93210150004883,0.00336676692263183,0.0349054511831682,WBGene00018747,F53C3.3,?,173732
N2,1.81560406337072,0.475130336579946,3.82127581336878,1.3276306959646e-4,0.00266878105278424,WBGene00018297,F41F3.3,?,178856
N2,1.81550130070448,0.393546200728993,4.61318467143502,3.9654567893381e-6,1.44681100001241e-4,WBGene00013637,Y105C5A.13,?,178441
N2,1.80949244807556,0.43009481699212,4.20719426644174,2.58560859557605e-5,6.9347708799825e-4,WBGene00009964,fip-6,Fungus-Induced_Protein,172707
N2,1.78647195734233,0.484333211476702,3.68851838984051,2.25563725397185e-4,0.00412280364753745,WBGene00009842,igeg-2,"IG_(immunoglobulin),_EGF_and_transmmembrane_domain",181336
N2,1.78051901458339,0.611474895756701,2.91184319575376,0.00359302955518363,0.0365600017625386,WBGene00000043,acr-3,Acetylcholine_receptor_subunit_beta-type_acr-3,180937
N2,1.78029942833258,0.516028096181588,3.4500048379267,5.60576507458581e-4,0.00867224158090312,WBGene00009090,fipr-3,FIP_(Fungus-Induced_Protein)_Related,259352
N2,1.77759986708602,0.486381551699401,3.65474360792499,2.57439119769788e-4,0.00458650561755922,WBGene00010573,K04H4.2,?,176315
N2,1.76855184452253,0.258651978642775,6.83757322794382,8.05459197913848e-12,1.61968371528067e-9,WBGene00009818,acbp-3,Acyl-CoA-binding_protein_homolog_3,181281
N2,1.76623142284462,0.434512216176829,4.06486022046808,4.80612569907343e-5,0.00118001145895161,WBGene00001478,fmo-3,Dimethylaniline_monooxygenase,176491
N2,1.76451513124651,0.533864959828461,3.30517127742093,9.49183753319635e-4,0.012921991234848,WBGene00044443,ZC21.10,?,3896746
N2,1.75926551040318,0.362611063735344,4.85165977088662,1.22432522222864e-6,5.12037709465961e-5,WBGene00007139,mnp-1,Matrix_non-peptidase_homolog_1,175564
N2,1.74372935512349,0.473024169168414,3.6863430428703,2.27499644001092e-4,0.00413775406627553,WBGene00021529,Y41G9A.5,?,189838
N2,1.74162962087963,0.230295884386367,7.56257379727074,3.95170781080131e-14,1.77287982239131e-11,WBGene00019858,R03H10.6,?,187558
N2,1.72554988850261,0.464021180726335,3.71868776722993,2.00260404018545e-4,0.00377596719641955,WBGene00011590,bus-19,?,179766
N2,1.71589810459522,0.309897194938642,5.53699140431058,3.07711647197521e-8,1.9850418025095e-6,WBGene00000928,dao-2,Dauer_or_Aging_adult_Overexpression,173793
N2,1.70928851791063,0.281664089541242,6.06853546966038,1.29081910294344e-9,1.28024540202702e-7,WBGene00003754,nlp-16,Neuropeptide-Like_Protein,177387
N2,1.69140357177776,0.489831697110053,3.45303005452043,5.54327238832079e-4,0.00860542199327831,WBGene00016596,C42D4.3,?,177492
N2,1.68825421670957,0.403145430753518,4.18770519996731,2.81789208948225e-5,7.43652270673525e-4,WBGene00044471,F56D6.9,?,3896765
N2,1.67612625072338,0.506498581831136,3.30924174489039,9.35490254474054e-4,0.0128131562020261,WBGene00002113,ins-30,INSulin_related,173267
N2,1.66265931633585,0.468534990345494,3.54863425485005,3.87234537712455e-4,0.00635940913015296,WBGene00004156,pqn-74,Prion-like-(Q/N-rich)-domain-bearing_protein,178294
N2,1.65376121316474,0.519199421200826,3.18521389977642,0.00144647050556217,0.0177898515196625,WBGene00015523,ztf-30,Zinc_finger_transcription_factor_family_protein_30,182317
N2,1.65283182235069,0.193574966884837,8.53845850498841,1.36024222850378e-17,1.49173231059248e-14,WBGene00003096,lys-7,LYSozyme,178772
N2,1.65167908646732,0.386100014415703,4.27785295208251,1.88704605194771e-5,5.2465195866828e-4,WBGene00022736,ZK418.7,?,191318
N2,1.64982638815039,0.265555845030172,6.2127285805475,5.20723508054337e-10,5.77476519606326e-8,WBGene00008296,cdr-2,CaDmium_Responsive,183779
N2,1.63915530603035,0.491995265257374,3.33164853765994,8.6333213395806e-4,0.012155617920351,WBGene00022562,ZC204.12,?,173536
N2,1.63485116122287,0.194001812726013,8.42698910000268,3.54672879875327e-17,3.18238302215407e-14,WBGene00003879,ora-1,Onchocerca_Related_Antigen_family,191739
N2,1.62276753262315,0.532348061861581,3.04832054229418,0.00230124315514761,0.0256937442774965,WBGene00206464,F59C6.18,?,13181858
N2,1.62184269368929,0.491899368618087,3.29710261317391,9.76878040596295e-4,0.013184984886908,WBGene00021491,comt-4,Catechol-O-MethylTransferase_family,189789
N2,1.61767042730396,0.448693812788153,3.60528801868665,3.11806921859956e-4,0.00530609365303063,WBGene00008708,F11E6.4,?,184358
N2,1.61640923850498,0.440458468844999,3.66983348678399,2.42708515841541e-4,0.00434760989356807,WBGene00044644,B0205.13,?,4362999
N2,1.60999536696055,0.161344689379617,9.97860774439561,1.89101459984105e-23,2.66633058577588e-20,WBGene00235094,K08D9.9,?,24104735
N2,1.6019580434146,0.481718399317531,3.32550727911609,8.82577956286941e-4,0.0123579070120165,WBGene00006321,sup-12,SUPpressor,180674
N2,1.60168155420081,0.413602122833487,3.87251773087642,1.07716836974105e-4,0.00230122333535589,WBGene00021703,cpt-3,Carnitine_Palmitoyl_Transferase,190055
N2,1.58433784022645,0.478160628358385,3.31340086628584,9.21687743046148e-4,0.0127409776244615,WBGene00011476,T05D4.3,?,176789
N2,1.58412756491826,0.37404039265487,4.23517779369874,2.28370943393711e-5,6.20942482450669e-4,WBGene00011833,T19B10.5,?,179553
N2,1.56781107624739,0.440449042042742,3.55957426760676,3.71456478088543e-4,0.00612066016483125,WBGene00021121,W09G12.7,?,176941
N2,1.56719896475719,0.516635018613836,3.03347413220669,0.00241755436572124,0.0267803160377875,WBGene00018643,drd-50,dietary_restriction_down_regulated,177176
N2,1.55480610392219,0.416350070650958,3.73437213903019,1.88184065340757e-4,0.00358566935311442,WBGene00018418,F44E2.4,?,176243
N2,1.55076703262187,0.520553860371316,2.97907123677019,0.00289123552201934,0.0308838613988593,WBGene00019021,F57H12.6,?,177593
N2,1.5499862138381,0.494938130158037,3.13167670743651,0.00173811153846363,0.0206688685357061,WBGene00004300,ram-2,?,174687
N2,1.54772268295979,0.43103084528634,3.59074692654912,3.29731679789913e-4,0.00552538485488361,WBGene00012255,lpr-6,LiPocalin-Related_protein,181296
N2,1.54664119768773,0.452404893984356,3.41871013831521,6.29187133963657e-4,0.00952465799420444,WBGene00010296,dgat-2,acyl-CoA:DiacylGlycerol_AcylTransferase,180160
N2,1.54459950281649,0.398920193841962,3.87195114877642,1.07967594472431e-4,0.00230159861218768,WBGene00020363,fbxa-3,F-box_A_protein,188289
N2,1.54224669566438,0.242680290549034,6.35505541952022,2.08351491354821e-10,2.67068729827543e-8,WBGene00015046,nlp-34,Neuropeptide-Like_Protein,259618
N2,1.54097707670747,0.431147476104058,3.5741298792517,3.51394484715286e-4,0.00583882754905702,WBGene00012257,lpr-4,LiPocalin-Related_protein,181298
N2,1.5383375664372,0.213815245740236,7.19470476069851,6.25960633283851e-13,1.93069732828488e-10,WBGene00000039,acn-1,Inactive_angiotensin-converting_enzyme-related_protein,180780
N2,1.52918343927987,0.432590926831663,3.53494108274475,4.0786608841234e-4,0.00663202354634234,WBGene00012256,lpr-5,LiPocalin-Related_protein,181297
N2,1.51924853320159,0.24131017310801,6.29583292587328,3.05753559087399e-10,3.7664343582929e-8,WBGene00011831,T19B10.2,?,179551
N2,1.51897068741234,0.33331956556734,4.55710028550803,5.18646644298482e-6,1.77744527056459e-4,WBGene00044646,B0205.14,?,4363000
N2,1.51181239795189,0.187612203199106,8.05817730495632,7.74404401954744e-16,5.45955103378095e-13,WBGene00000558,cnc-4,CaeNaCin_(Caenorhabditis_bacteriocin),178635
N2,1.51072294293087,0.267874857948093,5.6396593338506,1.70386923489339e-8,1.16786037141651e-6,WBGene00045416,Y37H2A.14,?,6418795
N2,1.50940731648,0.455156204736689,3.31624022867755,9.12373645035207e-4,0.0126632281029511,WBGene00013013,clec-145,C-type_LECtin,175003
N2,1.50649844829937,0.26813805103154,5.61836875633204,1.92768739104568e-8,1.30316948970006e-6,WBGene00044292,F56D6.8,?,3565007
N2,1.49630073131488,0.389529454404341,3.84130317847976,1.22382845069955e-4,0.00252175089945816,WBGene00017485,F15E6.4,?,177193
N2,1.49153201937823,0.499747647598765,2.98457036575336,0.00283976877361937,0.0304989312248348,WBGene00004174,abu-14,Activated_in_Blocked_Unfolded_protein_response,174464
N2,1.49014222036441,0.332234980021638,4.48520568263872,7.28436319585957e-6,2.37282721924534e-4,WBGene00021979,Y58A7A.5,?,190383
N2,1.48658512956196,0.262297178102141,5.66756051406344,1.44844907007694e-8,1.02115659440425e-6,WBGene00014173,ZK970.7,?,191473
N2,1.47209330113112,0.380015433243065,3.87377241121031,1.07163495901551e-4,0.00229735899976962,WBGene00044998,M199.9,?,4927032
N2,1.47079419950464,0.472407434338163,3.11340189124078,0.00184943987191284,0.0217309184949759,WBGene00019839,R02F11.1,?,178870
N2,1.46830430408565,0.249687235003644,5.88057416737472,4.08845756979814e-9,3.44318689671351e-7,WBGene00010742,K10D6.2,?,179548
N2,1.46742020592235,0.473779843991608,3.09726178631681,0.00195317304792827,0.0228139857787597,WBGene00010528,K03D3.2,?,186933
N2,1.46485257981051,0.238457437770766,6.14303581177746,8.09590212298761e-10,8.500697229137e-8,WBGene00007682,C18D11.6,?,259533
N2,1.46035077639042,0.472800904897585,3.08872246491736,0.00201019129570005,0.0231512113052036,WBGene00077593,C49G7.12,?,6418710
N2,1.45815945271133,0.425746646829487,3.42494641724172,6.14920684675564e-4,0.00939515039899042,WBGene00010953,clec-190,C-type_LECtin,178423
N2,1.45140028149369,0.460138615086696,3.15426750528257,0.00160901525331126,0.0193670494514416,WBGene00009102,F25B3.5,?,184916
N2,1.4372729121016,0.2515535785278,5.71358563258426,1.10620168099386e-8,8.02809602309517e-7,WBGene00011345,dma-1,?,187968
N2,1.4366709490898,0.188701530714263,7.61345678358722,2.66860583707781e-14,1.25424474342657e-11,WBGene00001387,far-3,Fatty_Acid/Retinol_binding_protein,179785
N2,1.43061139205243,0.469019785922104,3.05021543865109,0.00228677266124315,0.0255610941862627,WBGene00006970,zag-1,Zinc_finger_E-box-binding_homeobox_protein_zag-1,177144
N2,1.42856905156271,0.319335116614667,4.47357330038504,7.69231717211987e-6,2.48114936237984e-4,WBGene00019662,K11H12.6,?,187313
N2,1.42310939698839,0.278913045943309,5.10234073911926,3.35478031623523e-7,1.67230715763847e-5,WBGene00010005,cnc-7,CaeNaCin_(Caenorhabditis_bacteriocin),180337
N2,1.42272873694511,0.453727975551095,3.13564252946288,0.00171478080420521,0.0204406842240403,WBGene00021525,Y41D4B.26,?,176973
N2,1.4213844629304,0.203026207437623,7.0009900734963,2.54159953689778e-12,6.11843595833685e-10,WBGene00008390,D1086.3,?,179907
N2,1.41155427928639,0.474179803332913,2.97683340657881,0.00291242219359897,0.0310763319468344,WBGene00007439,C08E8.3,?,182408
N2,1.40942526496514,0.228562923074319,6.16646499794217,6.98335297066839e-10,7.49192324135837e-8,WBGene00016892,C53A3.2,?,178964
N2,1.40876824579215,0.234778476145884,6.00041481194719,1.96814086025194e-9,1.85005240863683e-7,WBGene00045457,F33H12.7,?,6418627
N2,1.40615405650024,0.214026997502093,6.56998450154165,5.03204993298604e-11,8.14202177681511e-9,WBGene00000220,atf-2,ATF_(cAMP-dependent_transcription_factor)_family,174399
N2,1.39947157254464,0.424177926684046,3.29925600675362,9.69414592927279e-4,0.0131249959289331,WBGene00004002,pgp-8,P-GlycoProtein_related,181277
N2,1.39119228323842,0.392241684922248,3.54677316745208,3.89980209364034e-4,0.006383258153272,WBGene00018877,aman-1,Alpha-mannosidase,180749
N2,1.39077976411934,0.455609143239085,3.05257211089268,0.00226889209529044,0.0254476874778599,WBGene00003978,pes-4,Patterned_Expression_Site,175288
N2,1.38542189502163,0.315694081146768,4.3884949948667,1.14137761016909e-5,3.40344320615374e-4,WBGene00009408,F35C12.3,?,185275
N2,1.38100547617762,0.153117538105454,9.01925078776089,1.89380005839348e-19,2.33647582204295e-16,WBGene00017970,F32A5.4,?,174188
N2,1.37859421506042,0.457702092160349,3.01199019771457,0.00259540978270681,0.0284314035020158,WBGene00018543,ugt-32,UDP-GlucuronosylTransferase,185911
N2,1.36901339042476,0.24608662020542,5.56313622122966,2.64968889887227e-8,1.74349529545796e-6,WBGene00019592,K09F6.9,?,173585
N2,1.36882691428951,0.357165374793167,3.83247372476178,1.26861152409549e-4,0.00258168984388092,WBGene00016845,C50F7.5,?,177554
N2,1.36471137458571,0.479449746185404,2.84641171560445,0.00442149875099343,0.042784502619907,WBGene00009304,eva-1,?,173355
N2,1.36187067482365,0.407221547182653,3.34429915176565,8.24907351780768e-4,0.0117826853286196,WBGene00017841,F26G1.5,?,173823
N2,1.35080769112454,0.36486615861024,3.70220054463179,2.13737562684616e-4,0.00394315839943394,WBGene00007506,C10C5.2,?,182493
N2,1.34759113620324,0.469847428019821,2.86814624458557,0.00412884635698225,0.040508661573971,WBGene00002123,inx-1,Innexin,180968
N2,1.3464800495111,0.17920221423818,7.51374672034732,5.74587006575003e-14,2.46572771951969e-11,WBGene00044280,W02A2.9,?,3565254
N2,1.32998909113015,0.224361204990282,5.92789244106511,3.06847367751112e-9,2.72845362135448e-7,WBGene00003623,nhr-25,Nuclear_hormone_receptor_family_member_nhr-25,181432
N2,1.32873669761498,0.388273718938769,3.42216491305847,6.21246206547599e-4,0.00947712528380959,WBGene00011707,T11B7.2,?,188408
N2,1.32792377914278,0.316376987332211,4.19728309046826,2.70136179650943e-5,7.14810748835068e-4,WBGene00004122,pqn-35,Prion-like-(Q/N-rich)-domain-bearing_protein,173800
N2,1.32737586543971,0.263170888797364,5.04377923981464,4.56425867825501e-7,2.18685597836781e-5,WBGene00015216,valv-1,?,182010
N2,1.32043339401433,0.357910535585013,3.68928338992885,2.2488660757372e-4,0.00412280364753745,WBGene00020561,T19C3.3,?,188586
N2,1.31905989132671,0.434276272439225,3.03737499614673,0.00238648364115996,0.0265254431737036,WBGene00007440,C08E8.4,?,182409
N2,1.31820516744019,0.407619785670665,3.23390869084365,0.00122108488295059,0.0157543892741468,WBGene00001117,dyf-1,Tetratricopeptide_repeat_protein_30_homolog,172122
N2,1.3101712316632,0.28537335336314,4.59107767499229,4.40963175722832e-6,1.57872521064041e-4,WBGene00016004,C18H9.6,?,182809
N2,1.30681488090528,0.129500592942868,10.091188396966,6.04333923084044e-24,9.94129303473252e-21,WBGene00002271,lec-8,Probable_galaptin_lec-8,181198
N2,1.3040527124233,0.221097670132488,5.89808436987088,3.67745935948394e-9,3.18390560334267e-7,WBGene00008741,F13D12.6,Uncharacterized_serine_carboxypeptidase_F13S12.6,174802
N2,1.29973133060414,0.202972931248471,6.40347125407113,1.51883462561259e-10,2.02579699389139e-8,WBGene00206361,K02G10.15,?,13220381
N2,1.29964436002757,0.370478732447295,3.50801340590438,4.51466299053189e-4,0.00723372138255677,WBGene00015816,C16A11.3,?,173756
N2,1.29332877246555,0.439385212402236,2.94349635800116,0.00324527641519674,0.0338478096371337,WBGene00016927,nhr-172,Nuclear_Hormone_Receptor_family,183808
N2,1.29080979642188,0.199264787486142,6.47786200816665,9.30313726990616e-11,1.35032301255844e-8,WBGene00022644,dod-19,Downstream_Of_DAF-16_(regulated_by_DAF-16),178564
N2,1.2876075081245,0.333674794103958,3.85886956664561,1.13912710282176e-4,0.00239216691592569,WBGene00045401,eol-1,Enhanced_Olfactory_Learning,6418775
N2,1.28624395770347,0.404119945907685,3.18282720446887,0.00145844623853052,0.0178818190985047,WBGene00003933,pat-9,Paralysed_Arrest_at_Two-fold,181714
N2,1.28194473838091,0.198710667803955,6.45131312046952,1.10885126531731e-10,1.54145943502561e-8,WBGene00012101,zip-10,bZIP_transcription_factor_family,179599
N2,1.28099369013446,0.331731427247401,3.86153853665215,1.12675235267891e-4,0.00237629182071385,WBGene00000022,abt-4,ABC_Transporter_family,178559
N2,1.27452695498944,0.394327003252481,3.23215743399997,0.00122859347123076,0.0158305712285216,WBGene00007765,C27B7.9,?,3565797
N2,1.27098563943985,0.306279897785185,4.14975206871486,3.32835584726478e-5,8.51058865608896e-4,WBGene00001824,hbl-1,Hunchback-like_protein,180848
N2,1.26794334990534,0.378759306313343,3.34762295941155,8.15078206957016e-4,0.0116930550910839,WBGene00011374,T02D1.8,?,259608
N2,1.25102265688781,0.198172814732694,6.31278643629933,2.74055575421175e-10,3.46785708898333e-8,WBGene00011190,swt-6,SWEET_sugar_transporter_family,187765
N2,1.24745640212254,0.375970663208718,3.31796207575382,9.06767951795739e-4,0.0126231307252806,WBGene00011756,ctg-2,CRAL/TRIO_and_GOLD_domain_containing,174360
N2,1.243761316281,0.167367789959286,7.43130632592781,1.07530361318894e-13,3.93083209710181e-11,WBGene00011060,R06C1.6,?,173077
N2,1.23794737348362,0.328132331020893,3.77270770494357,1.61485433065819e-4,0.00317502235928214,WBGene00004811,skr-5,SKp1_Related_(ubiquitin_ligase_complex_component),180148
N2,1.23554263927589,0.250672700737188,4.92890783736064,8.26905680627866e-7,3.67637795846713e-5,WBGene00020954,W02G9.4,?,178731
N2,1.22455936739441,0.350515583404185,3.49359465134636,4.76564012923537e-4,0.00755005908114817,WBGene00018252,F40H3.6,?,174025
N2,1.22270815385695,0.208063386812553,5.87661372136805,4.18743775506772e-9,3.47311013802676e-7,WBGene00013079,ttr-26,TransThyretin-Related_family_domain,180211
N2,1.2213055019187,0.374373743963975,3.26226270300682,0.00110526665115298,0.0144806846811202,WBGene00009902,drd-1,dietary_restriction_down_regulated,174339
N2,1.21758150572111,0.240475166857132,5.06323177413361,4.12208198997202e-7,2.02412682791163e-5,WBGene00022848,ZK1055.7,?,179051
N2,1.21296717586717,0.206306451566274,5.87944374331655,4.11647470934341e-9,3.44318689671351e-7,WBGene00002274,lec-11,Galectin,177420
N2,1.21268004657935,0.327385626311336,3.7041334411735,2.12114584749308e-4,0.00392054485295069,WBGene00006741,unc-1,Stomatin-like_protein_UNC-1;_Uncharacterized_protein;Stomatin-like_protein_UNC-1;_Uncharacterized_protein;Stomatin-like_protein_UNC-1;_Uncharacterized_protein;Stomatin-like_protein_UNC-1;_Uncharacterized_protein;Stomatin-like_protein_UNC-1;_Uncharacterized_protein;Stomatin-like_protein_UNC-1;_Uncharacterized_protein;Stomatin-like_protein_UNC-1;_Uncharacterized_protein;Stomatin-like_protein_UNC-1;_Uncharacterized_protein;Stomatin-like_protein_UNC-1;_Uncharacterized_protein;Stomatin-like_protein_UNC-1;_Uncharacterized_protein;Stomatin-like_protein_UNC-1;_Uncharacterized_protein;Stomatin-like_protein_UNC-1;_Uncharacterized_protein,180458
N2,1.21239870742958,0.261162241405077,4.64232004177466,3.44518666175562e-6,1.27834557712511e-4,WBGene00020471,pho-14,intestinal_acid_PHOsphatase,188466
N2,1.20956309000784,0.321209023210616,3.7656572593066,1.66111531369629e-4,0.00325088701447286,WBGene00014697,cyp-25A3,CYtochrome_P450_family,4363046
N2,1.20318692204702,0.313407929426063,3.83904429045683,0.00012351415066603601,0.00252922130098294,WBGene00008900,F16H6.10,?,180190
N2,1.20088152116887,0.242956684592518,4.94278032803651,7.70162475384547e-7,3.45522892365704e-5,WBGene00011984,T24C2.5,?,188842
N2,1.20036160597302,0.335234643065973,3.58066098120056,3.42726108000858e-4,0.00571403156413593,WBGene00011108,R07E3.7,?,187679
