strain,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_stable_ID,Gene_name,Gene_description,NCBI_gene_ID
N2,-1.91205624884722,0.482393779864534,-3.96368346495713,7.38020964218568e-5,0.00168617289741603,WBGene00011791,T15H9.6,?,174513
N2,-1.89819061674606,0.460959090608835,-4.11791557085669,3.82314700606916e-5,9.60164400760881e-4,WBGene00017253,sdz-9,SKN-1_Dependent_Zygotic_transcript,173622
N2,-1.89052205572079,0.321792642398381,-5.87496979927937,4.22920442945843e-9,3.47852064322956e-7,WBGene00009202,aptf-4,AP-2_Transcription_Factor_family,174376
N2,-1.88750285848761,0.583620762426095,-3.23412561719243,0.00122015775798956,0.0157543892741468,WBGene00015610,C08F1.6,?,173550
N2,-1.87342555431811,0.465498221178458,-4.02456007151936,5.70819224676959e-5,0.00134784348027789,WBGene00007182,fbxb-119,F-box_B_protein,181998
N2,-1.85134287923251,0.526459998273865,-3.51658793698023,4.37131831476794e-4,0.00702685859393478,WBGene00018248,F40G9.14,?,185560
N2,-1.73664534559596,0.301128704627401,-5.76711990225172,8.06376841276469e-9,6.02949956318087e-7,WBGene00044798,tbx-43,T_BoX_family,4363053
N2,-1.729960735143,0.224535520112919,-7.70461944850867,1.31233776402993e-14,6.91632768463123e-12,WBGene00006547,tbx-11,Putative_T-box_protein_11,185575
N2,-1.72921731240816,0.236814788014112,-7.30198197042116,2.83559274499023e-13,9.65079323898399e-11,WBGene00004815,skr-9,SKp1_Related_(ubiquitin_ligase_complex_component),178494
N2,-1.71218960186943,0.450073535848012,-3.80424411900465,1.42237856301489e-4,0.00284618767631741,WBGene00013794,dct-13,"DAF-16/FOXO_Controlled,_germline_Tumor_affecting",178476
N2,-1.69741287594256,0.521082141328065,-3.25747658827152,0.00112407530403493,0.0146754275804561,WBGene00000703,col-129,COLlagen,178155
N2,-1.68998806638619,0.379703754676345,-4.45080683446684,8.55482664653235e-6,2.69764022368288e-4,WBGene00021293,Y25C1A.6,?,173653
N2,-1.68761803779445,0.142349508031753,-11.8554539536449,2.01628537536324e-32,6.63357888494507e-29,WBGene00020218,T04G9.7,?,180424
N2,-1.63606948022446,0.442081842781577,-3.70082939830851,2.14895923020439e-4,0.0039571320153204,WBGene00015265,B0563.8,?,182042
N2,-1.60763103115146,0.57120208810237,-2.81446980786132,0.00488577668894149,0.0465570058815411,WBGene00019591,fbxc-25,F-box_C_protein,187235
N2,-1.60414087862999,0.254521305151971,-6.30257996544604,2.92731422098414e-10,3.65729004571057e-8,WBGene00004814,skr-8,SKp1_Related_(ubiquitin_ligase_complex_component),178495
N2,-1.59754639590871,0.38316457234462997,-4.16934787611791,3.05472427654583e-5,7.93424437092299e-4,WBGene00003595,ngn-1,NeuroGeNin,177045
N2,-1.59444862996154,0.231945338631114,-6.87424304093193,6.23198810413286e-12,1.28145255391232e-9,WBGene00003377,mls-2,Mesodermal_Lineage_Specification,180751
N2,-1.57573724542962,0.347270306901886,-4.53749489695014,5.6926407516887e-6,1.92419055545094e-4,WBGene00010062,lipl-1,Lipase,179771
N2,-1.57439615418418,0.212774502563945,-7.39936475100454,1.36837511492617e-13,4.82352228011475e-11,WBGene00001436,fkh-4,ForKHead_transcription_factor_family,181466
N2,-1.56865292499454,0.267760812315468,-5.85841113727424,4.67316558000922e-9,3.74993042883667e-7,WBGene00004820,skr-14,SKp1_Related_(ubiquitin_ligase_complex_component),178839
N2,-1.56832091361996,0.229457101280187,-6.83491992564181,8.20508467720703e-12,1.61968371528067e-9,WBGene00020073,sdz-28,SKN-1_Dependent_Zygotic_transcript,173569
N2,-1.56366904320198,0.349926225849055,-4.46856773712208,7.87450773455511e-6,2.51525538317343e-4,WBGene00003983,pes-10,Patterned_expression_site_protein_10,174920
N2,-1.54119002163361,0.262861718955616,-5.86312083690604,4.54247396536158e-9,3.67493590476383e-7,WBGene00000453,ceh-32,Homeobox_protein_ceh-32,179603
N2,-1.52876464522591,0.522196218115503,-2.92756743957837,0.00341624963192521,0.0351966428675384,WBGene00008838,F15A4.2,?,184511
N2,-1.52302428575386,0.414555653282489,-3.67387170744004,2.38902717345932e-4,0.00429502699490773,WBGene00013721,Y106G6H.9,?,190927
N2,-1.51826435054587,0.149417828681406,-10.1611993959782,2.95419618828286e-24,5.83158327567036e-21,WBGene00006541,tbh-1,Tyramine_beta-hydroxylase,181639
N2,-1.50275479259837,0.516675036786578,-2.90851054454778,0.00363154929453191,0.036800196649928,WBGene00002246,lag-2,?,178755
N2,-1.49052164153113,0.250405348484121,-5.95243532358355,2.64181547500629e-9,2.41941901794648e-7,WBGene00011229,R11.4,?,181693
N2,-1.48923846788338,0.3067640108488,-4.85467139304489,1.20586536486928e-6,5.08627826976915e-5,WBGene00004819,skr-13,SKp1_Related_(ubiquitin_ligase_complex_component),178493
N2,-1.4823249609301,0.339826921984898,-4.36199978586739,1.28878996155188e-5,3.77458662329882e-4,WBGene00000732,col-159,COLlagen,179803
N2,-1.47498551953115,0.514837785644898,-2.8649519531352,0.00417072518584651,0.0407978766940585,WBGene00010646,K08C7.1,?,177953
N2,-1.46330872206196,0.472766784768053,-3.09520205142982,0.00196678865447969,0.0229187768827799,WBGene00019700,btb-11,BTB_(Broad/complex/Tramtrack/Bric_a_brac)_domain_protein,173481
N2,-1.4499298632375,0.270007428989472,-5.36996285125933,7.87528630137652e-8,4.65443567632253e-6,WBGene00010808,sepa-1,Suppressor_of_Ectopic_P_granules_in_Autophagy_mutant,173196
N2,-1.44813382494677,0.450393344766683,-3.21526470533649,0.00130324286036115,0.0165547066045876,WBGene00018021,F34D6.1,?,173612
N2,-1.42015058101688,0.312196379426097,-4.54890150753033,5.3926673558415e-6,1.84171719038601e-4,WBGene00015138,B0310.2,Putative_zinc_finger_protein_B0310.2,180403
N2,-1.41727489012701,0.442878516138531,-3.200143692867,0.00137359088039478,0.017117856047344,WBGene00003979,pes-5,Patterned_Expression_Site,174819
N2,-1.4156381433618,0.28656208969149,-4.9400747491961,7.80926280921336e-7,3.48766624103782e-5,WBGene00015549,C06G3.3,?,177472
N2,-1.40797383085016,0.425527373600262,-3.30877381386233,9.37055062900467e-4,0.0128131562020261,WBGene00009773,lipl-2,Lipase,185840
N2,-1.40359939430693,0.200895187028034,-6.98672484428941,2.81377310082083e-12,6.61236678692894e-10,WBGene00016453,vet-2,Very_Early_Transcript,172993
N2,-1.38757996177258,0.212457870624418,-6.53108288101755,6.52958506808576e-11,1.00698444721885e-8,WBGene00004816,skr-10,SKp1_Related_(ubiquitin_ligase_complex_component),178447
N2,-1.38361357585363,0.185611049183552,-7.45437074969264,9.02977477660463e-14,3.42784142481107e-11,WBGene00002130,inx-8,Innexin-8,178101
N2,-1.38235633172597,0.295608890125416,-4.67630161981763,2.92094896256151e-6,1.1088371638647e-4,WBGene00012021,T25E12.6,?,180118
N2,-1.35791121135188,0.271223833908362,-5.00660724311816,5.53978022960993e-7,2.6106003989708e-5,WBGene00001104,dsl-2,Delta-like_protein,176938
N2,-1.35395990106584,0.351105126083121,-3.85628064212683,1.15125311120068e-4,0.0024124985578664,WBGene00008782,sdz-14,SKN-1_Dependent_Zygotic_transcript,173101
N2,-1.35030370029934,0.217651671565833,-6.20396659756832,5.50574764492453e-10,6.03796991726724e-8,WBGene00004821,skr-15,SKp1_Related_(ubiquitin_ligase_complex_component),173729
N2,-1.32659195820021,0.337939832194225,-3.92552706671693,8.65400378754772e-5,0.00191943859287856,WBGene00005059,sra-33,Serpentine_receptor_class_alpha-33,181920
N2,-1.32351926973158,0.183037419003263,-7.23086720157469,4.79919473425457e-13,1.52800167829331e-10,WBGene00004813,skr-7,SKp1_Related_(ubiquitin_ligase_complex_component),178840
N2,-1.30486080751775,0.279231419361839,-4.67304435331778,2.96767646948725e-6,1.1222592625992e-4,WBGene00206389,C29F7.10,?,13223505
N2,-1.29948736333588,0.309371512646205,-4.20041054271845,2.66431424398865e-5,7.08808129061132e-4,WBGene00017135,EEED8.4,Putative_RNA-binding_protein_EEED8.4,173921
N2,-1.29698348052531,0.319596441080952,-4.05819124937251,4.94542610154156e-5,0.00120820187183701,WBGene00011475,T05D4.2,?,188126
N2,-1.2918862618716,0.196870748211349,-6.56210368279145,5.30539034209854e-11,8.445839141373e-9,WBGene00003601,nhr-2,Nuclear_hormone_receptor_family_member_nhr-2,172251
N2,-1.2912851267721701,0.426446573624649,-3.02801149460927,0.0024616872355617,0.0272081220772609,WBGene00022741,ZK430.5,?,191319
N2,-1.2910327937635,0.255959332216276,-5.04389811687987,4.56142242296853e-7,2.18685597836781e-5,WBGene00011522,srap-1,Serine_Rich_Adhesion_Protein-like,174709
N2,-1.28616326404247,0.333690108949387,-3.85436436246765,1.16030687871461e-4,0.00242631968070195,WBGene00019415,K05F6.4,?,187034
N2,-1.2835921423856,0.417325617787299,-3.07575688545393,0.00209968970652058,0.0239583091368302,WBGene00017252,sdz-10,SKN-1_Dependent_Zygotic_transcript,184179
N2,-1.28123797860726,0.198887829869152,-6.44201296504762,1.17899206613435e-10,1.60287449083826e-8,WBGene00021913,cec-8,C.Elegans_Chromodomain_protein,175202
N2,-1.281057785886,0.378906555114204,-3.38093328973916,7.22400791227866e-4,0.0107052077557954,WBGene00010149,F56D5.5,?,177772
N2,-1.28057147759825,0.378963524198146,-3.37914177969457,7.27124986893352e-4,0.010727539044301,WBGene00017648,ddo-3,D-aspartate_oxidase_3,184746
N2,-1.27581712413489,0.187663407135167,-6.79843312881965,1.05763083524308e-11,2.00746468150947e-9,WBGene00013254,tag-276,?,174865
N2,-1.26892964422197,0.243759631803764,-5.20565950494833,1.93308818540011e-7,1.02578389193006e-5,WBGene00012300,W06D11.2,?,181389
N2,-1.25086143575174,0.297492696244971,-4.20467948134673,2.61452396787669e-5,6.99332020675961e-4,WBGene00009778,F46C5.1,?,174411
N2,-1.23306842663116,0.311910072338552,-3.95328184622638,7.70865458316378e-5,0.00174906714335233,WBGene00007649,C17G1.2,?,182741
N2,-1.23250006700825,0.269756513439667,-4.56893533836362,4.90207977628876e-6,1.7096652788682e-4,WBGene00008157,C47F8.1,?,173107
N2,-1.22391388792445,0.29338838400013,-4.17165080374793,3.02400818847386e-5,7.87518755151372e-4,WBGene00020354,T08B6.5,?,177260
N2,-1.20782216319475,0.207860073201378,-5.81074635735648,6.21949341415226e-9,4.7586356587351e-7,WBGene00018731,F53A9.8,?,181118
N2,-1.2027380362608,0.191207555007954,-6.29022235136455,3.17011568314424e-10,3.81573680397972e-8,WBGene00000461,ceh-40,Homeobox_protein_ceh-40,191624
N2,-1.19704361373484,0.277067653362445,-4.32040189176804,1.55745288898461e-5,4.41725862479254e-4,WBGene00013383,aptf-2,AP-2_Transcription_Factor_family,190458
N2,-1.19186638433498,0.306815523142628,-3.88463521052331,1.02483646466459e-4,0.00220854495769421,WBGene00007282,clec-223,C-type_LECtin,179561
N2,-1.19155203625082,0.264704957062677,-4.50143453856317,6.74963537941389e-6,2.22063003982717e-4,WBGene00044694,fbxb-90,F-box_B_protein,4363043
N2,-1.18994181041304,0.329064711019261,-3.61613315121897,2.99036600731348e-4,0.00514983399497623,WBGene00021966,Y57G7A.2,?,173508
N2,-1.18685888945025,0.388996654930022,-3.05107736636903,0.00228021811703618,0.0255167265477858,WBGene00017140,EEED8.12,Putative_RNA-binding_protein_EEED8.12,173922
N2,-1.17395377349972,0.209158451384647,-5.61274844849944,1.99137989049125e-8,1.33706935504413e-6,WBGene00017105,E02H9.7,?,184002
N2,-1.157693944722,0.325466294986642,-3.55703174969167,3.75068839943432e-4,0.00616988241706946,WBGene00000715,col-142,COLlagen,188514
N2,-1.14933528152389,0.159910021403892,-7.18738745347898,6.60428008537348e-13,1.97528013462534e-10,WBGene00001435,fkh-3,ForKHead_transcription_factor_family,181465
N2,-1.14494494747545,0.369160060210549,-3.10148651190067,0.0019255164429757,0.0225710775441451,WBGene00020438,T12A2.3,?,175884
N2,-1.14486882008307,0.17583818210177601,-6.51092274953351,7.46905503205423e-11,1.1341472794827e-8,WBGene00016457,C35E7.5,?,172989
N2,-1.1365591212041,0.185728022032694,-6.11948110341704,9.38805620286813e-10,9.65209528357379e-8,WBGene00001186,egl-18,GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein;GATA-like_transcription_factor_ELT-5;_Uncharacterized_protein,176992
N2,-1.13413487467363,0.258059287064484,-4.3948616907952,1.10843304496437e-5,3.32529913489311e-4,WBGene00016779,sdz-7,SKN-1_Dependent_Zygotic_transcript,260202
N2,-1.12551739097778,0.132243622807413,-8.51093887995547,1.7253056881252e-17,1.70287671417957e-14,WBGene00016534,C39D10.7,?,181050
N2,-1.11687762857738,0.400593214467972,-2.78805927868924,0.00530248402821136,0.0498620855888086,WBGene00013699,Y106G6D.2,?,172875
N2,-1.11448681978951,0.284379037694364,-3.9190188869944,8.89101481046738e-5,0.00195842130356943,WBGene00044281,R04A9.7,?,3565956
N2,-1.10840359780338,0.207292852617077,-5.34704204129452,8.940325572519e-8,5.20278898226844e-6,WBGene00006393,taf-11.1,TAF_(TBP-associated_transcription_factor)_family,180698
N2,-1.10500181745478,0.233844572201301,-4.72536867994335,2.29698233945728e-6,8.96095481835706e-5,WBGene00007548,C13C4.4,?,179661
N2,-1.09333208234418,0.334449021021534,-3.26905451540785,0.00107907509030517,0.0142364616335985,WBGene00010691,K08H2.4,?,181449
N2,-1.09314215128277,0.163081456262029,-6.70304384286576,2.04122186490064e-11,3.59765353688738e-9,WBGene00009367,F33H2.3,Acidic_leucine-rich_nuclear_phosphoprotein_32-related_protein_1,173372
N2,-1.0889547783247,0.187735787853482,-5.80046452930205,6.61314622433636e-9,4.98257658276335e-7,WBGene00000884,cyn-8,Peptidyl-prolyl_cis-trans_isomerase_8,181136
N2,-1.08808736640076,0.342535711558769,-3.17656620808741,0.00149029767791437,0.0181991815691358,WBGene00019814,R02C2.1,?,178550
N2,-1.07497636793222,0.221418645816283,-4.85494960900517,1.20417360531052e-6,5.08627826976915e-5,WBGene00006552,tbx-33,Putative_T-box_protein_33,190493
N2,-1.06504674861739,0.199426918596202,-5.34053655401399,9.26718884999525e-8,5.34895637131305e-6,WBGene00000995,die-1,Dorsal_Intercalation_and_Elongation_defect,174569
N2,-1.05683467332557,0.313345792946365,-3.37274250082709,7.44235178841056e-4,0.0108985181233846,WBGene00007867,C32H11.4,?,178244
N2,-1.05640741385152,0.176147647832975,-5.9972836813195,2.00645376570373e-9,1.86827345919772e-7,WBGene00008904,F17A2.13,?,181390
N2,-1.05133878930355,0.257913971551244,-4.07631576909227,4.5754875240163e-5,0.00113183112436193,WBGene00000458,ceh-37,Homeobox_protein_ceh-37,181530
N2,-1.04298272058578,0.340383468482593,-3.06414035098509,0.00218296471645218,0.024680254010748,WBGene00020778,T24E12.11,?,173722
N2,-1.03863725613734,0.307450415158259,-3.37822687799171,7.29548629807147e-4,0.010747231307756,WBGene00219422,Y52B11A.20,?,24105144
N2,-1.03796776548658,0.202687684325303,-5.12102039619091,3.03886772203392e-7,1.53028696002422e-5,WBGene00010740,K10D3.6,?,172448
N2,-1.03516839412299,0.319655024599224,-3.23839237446949,0.0012020536461279,0.0155699074636251,WBGene00001391,far-7,Fatty_Acid/Retinol_binding_protein,173421
N2,-1.03248109340424,0.243614322963735,-4.23817894138326,2.25340138086254e-5,6.16096167011447e-4,WBGene00018286,F41E6.5,?,179241
N2,-1.02351953895585,0.334349320963701,-3.06122810719561,0.00220431090902346,0.024836242776326,WBGene00019413,fbxb-50,F-box_B_protein,187032
N2,-1.02253206711234,0.173538041566565,-5.89226464630881,3.80938436735122e-9,3.269445539631e-7,WBGene00020261,vet-1,Very_Early_Transcript,172308
N2,-1.01781214940138,0.298560534840569,-3.40906459705029,6.51860422440779e-4,0.00985277545098084,WBGene00015171,vang-1,VANG_(Van_Gogh/Strabismus_planar_polarity_protein)_homolog,180579
N2,-1.01144443373765,0.233834806632662,-4.32546569222504,1.52209957962135e-5,4.34194302048057e-4,WBGene00013086,arrd-2,ARRestin_Domain_protein,174491
